,Acrolect,Creole_word,Creole_name
455,pétarader, pétayé ,Martinique
456,péter, pété ,Martinique
457,peut-être," nè, mèyè, pétèt, pitèt ",Martinique
458,piège, zatrap ,Martinique
459,piéger, pwan adan an zatrap ,Martinique
460,pilule, pilil ,Martinique
461,pinceau, penso ,Martinique
462,pincement, pichon ,Martinique
463,pincer, pichonnen ,Martinique
464,pipe (à tabac), pipe ,Martinique
465,pipe (fellation), sous ,Martinique
466,pisse-au-lit, pisannit ,Martinique
467,pisser, pisé ,Martinique
468,pleutre, kôkôdô ,Martinique
469,pleurésie, pirézi ,Martinique
470,poids, pwa ,Martinique
471,pois, pwa ,Martinique
472,porte, l apôt ,Martinique
473,poste, pôs ; lapôs ,Martinique
474,pot, pôt ,Martinique
475,pot de chambre," dobann, pôtchanm ",Martinique
476,pouce," pous, gwodwèt ",Martinique
477,poudre, lapoud ,Martinique
478,poul, poul ,Martinique
479,poulailler, kay-poul ,Martinique
480,poupée, pôpôt ,Martinique
481,poursuite, zwèlséré ,Martinique
482,pousser, pousé ,Martinique
483,pousser (grandir)," pousé, pwofité ",Martinique
484,pouvwè, pouvoir ,Martinique
485,prefet, préfé ,Martinique
486,préfecture," lapréfèkti, préfèkti ",Martinique
487,prendre, pran ,Martinique
488,préservatif," fokal, chapo ",Martinique
489,préservation, prézèvasyon ,Martinique
490,préserver, prézèvé ,Martinique
491,preuve, prèv ,Martinique
492,prévoir, prévwè ,Martinique
493,prison," lajôl, laprizon, prizon ",Martinique
494,promesse, pwonmès ,Martinique
495,promettre," ponmèt, pwonmèt ",Martinique
496,prostate, blad-pisa ,Martinique
497,prostituée," manawa, bôbô ",Martinique
498,prostituer (se), fè manawa ,Martinique
499,proue, wagaba ,Martinique
500,puce, pis ,Martinique
501,puisque, pis ,Martinique
502,punaise, pinez ,Martinique
503,punir, pini ,Martinique
504,punition, pinision ,Martinique
505,purée, piré ,Martinique
506,purger, pijé ,Martinique
507,pus," matiè, pi, lapostim, limè",Martinique
508,quart d'heure, kardè ,Martinique
509,querelle," tren, ladjè ",Martinique
510,quereller," chaché tren, siré ",Martinique
511,querelleur," chach-tren, sirè",Martinique
512,raccourcir, rakousi ,Martinique
513,race, ras ,Martinique
514,raciste, rasis ,Martinique
515,rapide, rapid ,Martinique
516,rapidité, balan ,Martinique
517,rare, ra ,Martinique
518,rat, rat ,Martinique
519,rater, mantjé ,Martinique
520,rebuffade," bok, bouf ",Martinique
521,recette , riset ,Martinique
522,refroidir," frédi, rifrédi ",Martinique
523,refroidissement, frédisman ,Martinique
524,retard, rita ,Martinique
525,retardataire, ritardatè ,Martinique
526,retarder, ritadé ,Martinique
527,retour," viré, déviré, ritou ",Martinique
528,rêve, rèv ,Martinique
529,rêver, révé ,Martinique
530,rêveur, révè ,Martinique
531,rhum, wonm ; tafia ,Martinique
532,rire, ri ,Martinique
533,risque," riks, risk ",Martinique
534,roi ,  wa ,Martinique
535,rond, won ,Martinique
536,rue , lari ,Martinique
537,ruelle, riyel ,Martinique
538,savoir," sa, sav, konnet ",Martinique
539,scélérat," séléra, chyen, chyenfè, isalôp ",Martinique
540,scélératesse," chyennri, salopri, salopté ",Martinique
541,sec," chès, sèk ",Martinique
542,sécher, séché ,Martinique
543,sécheresse," chesres, sechres ",Martinique
544,sein, tété ,Martinique
545,sel, sel ,Martinique
546,semer , simen ,Martinique
547,sentier, tras ,Martinique
548,sentir, santi ,Martinique
549,série," séri, latilié, etsétéra ",Martinique
550,sérieux ," sérié, sériez ",Martinique
551,serrure, séri ,Martinique
552,seul, sel ; yonn ,Martinique
553,sieste," bas-tet, kanm, lasies ",Martinique
554,soeur," sésé, sè ",Martinique
555,soir," swè, oswè ",Martinique
556,sommeil, sonmèy ,Martinique
557,sommeiller," dômi ; fè an kanm, fè an pôztèt ",Martinique
558,sorcellerie, tjenbwa ,Martinique
559,sorcier," tjenbwazè, manntò ",Martinique
560,souffle, souf ,Martinique
561,souffre, souf ,Martinique
562,souffrance, soufwans ,Martinique
563,soulagement," soulajman, wouspèl ",Martinique
564,soulager," soulajé, ba an wouspèl ",Martinique
565,souffrir, soufè ,Martinique
566,soupe-au-lait, soupoulèt ,Martinique
567,sourd, soud ,Martinique
568,sucette, sisèt ,Martinique
569,sucer, sisé ; fè an sous ,Martinique
570,suer, swé ,Martinique
571,sud," li-sid, sid ",Martinique
