word,creole_word,creole name
tasty,bon gou,Haitian
goodwill,bon volonte,Haitian
God,Bondye,Haitian
dull,bone,Haitian
early,bonè,Haitian
pots and pans,bonm ak chodyè,Haitian
kettle,bonm,Haitian
cheap,bonmache,Haitian
father-in-law,bòpè,Haitian
stepfather,bòpè,Haitian
employer,bòs,Haitian
locksmith,bòs seri,Haitian
boots,bòt,Haitian
mouth,bouth,Haitian
butcher,bouche,Haitian
shut (bouche bouth ou! - shut up!),bouche,Haitian
"baker, bakery",boulanje,Haitian
burn,boule,Haitian
bullet,boulèt,Haitian
lotto,boulèt,Haitian
bolt,boulon,Haitian
boulevard,boulva,Haitian
purse,bous,Haitian
wallet,bous,Haitian
bottle,boutèy,Haitian
store,boutik,Haitian
newsstand,boutik jounal,Haitian
cufflinks,bouton pwayè,Haitian
fog,bouya,Haitian
boiling,bouyi,Haitian
arm,bra,Haitian
branch,branch,Haitian
bracelet,braslè,Haitian
brave,brav,Haitian
flashy,briyan,Haitian
shine,briye,Haitian
wood,bwa,Haitian
drink,bwason,Haitian
box,bwat,Haitian
noise,bwi,Haitian
pin,bwòch,Haitian
brush,bròs,Haitian
fine,byen,Haitian
well,byen,Haitian
although,byenke,Haitian
C ~ Kreyol pronunciation ( se,"ce ),  ( as in ce in cell )",Haitian
cab,taksi,Haitian
cabbage,chou,Haitian
cabin,kabin,Haitian
cable,"kab, telegram",Haitian
cache,kachèt,Haitian
cadence,kadans,Haitian
cafe,"kafe, bwat",Haitian
cage,kalòj,Haitian
cake,gato,Haitian
calamity,kalamite,Haitian
calculate,kalkile,Haitian
calf,ti bèf,Haitian
California,Kalifòni,Haitian
call,v rele,Haitian
call 555-5555,rele nan 555- 5555,Haitian
callous,"di, rèd, san pitye",Haitian
calm,kalm,Haitian
camel,chamo,Haitian
camera,"kamera, kodak",Haitian
camp,n kanpman,Haitian
camp,"v desann, poze pye",Haitian
campaign,kanpagn,Haitian
can,n kanistè,Haitian
can,v kapab,Haitian
cancel,anile,Haitian
cancer,kansè,Haitian
candid,fran,Haitian
candidate,kandida,Haitian
candle,chandèl,Haitian
candy,"sirèt, bonbon",Haitian
cane,kann,Haitian
canteen,kantin,Haitian
canvas,n twal,Haitian
cap,berè,Haitian
capable,konpetan,Haitian
capacity,kapacite,Haitian
capital,kapital,Haitian
caption,"antèt, lejand",Haitian
captious,"acheval, manyak",Haitian
captivate,kaptive,Haitian
captive,kaptif,Haitian
capture,"v kaptire, bare",Haitian
car,"oto, machin, vwati",Haitian
carcass,kakas,Haitian
card,"kat, kat jwe",Haitian
cardigan,vès,Haitian
cardinal,kadinal,Haitian
care,n swen,Haitian
care,v swanye,Haitian
career,karyè,Haitian
careful,"atantif, apwofondi",Haitian
be careful,pinga,Haitian
caress,n karès,Haitian
carpet,tapi,Haitian
carriage,"charyo, kabwèt",Haitian
carrot,karòt,Haitian
carry,pote,Haitian
cartoon,"komik, desen anime",Haitian
carve,"sizle, skilte",Haitian
case,"ka, kès, bwat",Haitian
cash,"n lajan, kach",Haitian
cash,adj kontan,Haitian
casing,"anvlòp, aman",Haitian
casino,kazino,Haitian
cast,n ròl,Haitian
cast,"v jete, voye",Haitian
castigate,"v reprimande, chatye, joure",Haitian
castle,n chato,Haitian
casual,"aksidantèl, dezenvòlt",Haitian
cat,chat,Haitian
catch,"v pran, bare, trape",Haitian
catch,n lapèch,Haitian
cater,"founi, aprovizyone",Haitian
cattle,betay,Haitian
cauldron,chodyè,Haitian
cause,"kòz, lakòz, rezon",Haitian
caution,prekosyon,Haitian
cave,"kav, gròt",Haitian
caviar,"kavya, ze",Haitian
cavity,"trou, fant",Haitian
cease,"sispann, rete, stòp",Haitian
cede,"sede, bay legen",Haitian
ceiling,plafon,Haitian
celebrate,selebre,Haitian
cellar,kav,Haitian
cemetery,simityè,Haitian
cent,kòbi,Haitian
center,v trote,Haitian
center,n ti galope,Haitian
central,santral,Haitian
century,syèk,Haitian
cereal,sereyal,Haitian
certain,"sèten, siswafè, si",Haitian
certainly,sètènman,Haitian
certify,sètifye,Haitian
chafe,"v frote, friksyonen, irite",Haitian
chaff,"n bal, pake pay caffer",Haitian
chagrin,"n kontraryete, chagren",Haitian
chain,n chenn,Haitian
chained,mare,Haitian
