Word,Creole_word,Creole_name
not timid,jajó  ,Saramaccan
corn tassels,jakajaka  ,Saramaccan
fish fin,jakajaka  ,Saramaccan
Javanese,jampanë́si,Saramaccan
dress,japó,Saramaccan
to fry,jasá  ,Saramaccan
to leave a smarting pain (e.g. alagisa jasa mi),jasá  ,Saramaccan
rash,jási  ,Saramaccan
expression of dismay,jeé  ,Saramaccan
hesitant response to someone calling,jeé  ,Saramaccan
shadow,jejé  ,Saramaccan
ears,jési,Saramaccan
yesterday,jéside,Saramaccan
"cross, to",jö́kö,Saramaccan
"hook, to",jö́kö,Saramaccan
borrow,júu  ,Saramaccan
hour,júu  ,Saramaccan
loan,júu  ,Saramaccan
o'clock,júu  ,Saramaccan
rent,júu  ,Saramaccan
time,júu  ,Saramaccan
rather,ká  ,Saramaccan
where,ká  ,Saramaccan
already,kaa,Saramaccan
calabash,kaabási,Saramaccan
goat,kaabíta,Saramaccan
tap someone (for attention),kaábu  ,Saramaccan
pliers,kaábútánda,Saramaccan
complaint,kaági,Saramaccan
bothersome,kaakéi,Saramaccan
power,kaakíti,Saramaccan
strength,kaakíti,Saramaccan
clamp,kaámpi,Saramaccan
to clamp,kaámpi,Saramaccan
tick,kaapátu,Saramaccan
hat,kaapúsa,Saramaccan
to itch,kaási,Saramaccan
end,kabá  ,Saramaccan
ready,kabá  ,Saramaccan
to finish,kabá  ,Saramaccan
captain,kabiténi,Saramaccan
village captain,kabiténi,Saramaccan
cashew,kadjú,Saramaccan
"rapids, river",Kadjú  ,Saramaccan
river rapids,Kadjú  ,Saramaccan
village,Kadjú  ,Saramaccan
gift,kadó,Saramaccan
drop,kaí  ,Saramaccan
fall,kaí  ,Saramaccan
to be agreeable,kaí  ,Saramaccan
to call out,kái  ,Saramaccan
card,káita  ,Saramaccan
ticket,káita  ,Saramaccan
excrement,kaká  ,Saramaccan
maggots,kaká  ,Saramaccan
rust,kaká  ,Saramaccan
to defecate,kaká  ,Saramaccan
cacao,kakáo,Saramaccan
